"logo","tên hãng","nơi đi","nơi đến","giờ đi","giờ đến","logo-hạng bay","hạng bay","giá tiền","giờ bay","kiểu bay","chi tiết chuyến bay","chi tiết vé"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VJ.png"," Vietjet Air","DAD","HAN","23:35","00:55","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Economy","907,344 VND","1 giờ 20 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VJ.png"," Vietjet Air","DAD","HAN","20:50","22:10","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Economy","907,344 VND","1 giờ 20 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VJ.png"," Vietjet Air","DAD","HAN","13:35","14:55","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Economy","907,344 VND","1 giờ 20 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VJ.png"," Vietjet Air","DAD","HAN","10:55","12:15","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Economy","907,344 VND","1 giờ 20 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VU.png"," Vietravel Airlines","DAD","HAN","07:10","08:15","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," ECONOMY","931,968 VND","1 giờ 5 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VJ.png"," Vietjet Air","DAD","HAN","22:15","23:35","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Economy","1,103,040 VND","1 giờ 20 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VJ.png"," Vietjet Air","DAD","HAN","15:00","16:20","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Economy","1,103,040 VND","1 giờ 20 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VJ.png"," Vietjet Air","DAD","HAN","12:35","13:55","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Economy","1,103,040 VND","1 giờ 20 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VJ.png"," Vietjet Air","DAD","HAN","08:20","09:40","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Economy","1,103,040 VND","1 giờ 20 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VN.png"," Vietnam Airlines","DAD","HAN","12:50","14:20","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Phổ thông tiết kiệm","1,239,600 VND","1 giờ 30 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VN.png"," Vietnam Airlines","DAD","HAN","12:05","13:45","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Phổ thông tiết kiệm","1,239,600 VND","1 giờ 40 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VN.png"," Vietnam Airlines","DAD","HAN","15:10","16:45","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Phổ thông tiết kiệm","1,239,600 VND","1 giờ 35 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
"https://data.vietnambooking.com/flight/icon_airlines/big/logo_VN.png"," Vietnam Airlines","DAD","HAN","06:45","08:20","https://www.pacificeirlines.com/wp-content/themes/pacificeirlines/images/hang-ghe.svg"," Phổ thông tiết kiệm","1,434,000 VND","1 giờ 35 phút","Bay thẳng","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0","https://www.pacificeirlines.com/tim-chuyen-bay?Itinerary=Oneway&Departure=DAD&Destination=HAN&DepartureDate=17082023&ReturnDate=&Adult=1&Child=0&Infant=0"
